,Ten,Hinh,Gia,MoTa,TheLoai,YeuThich
0,Thuốc kích rễ Thái,https://hoalanhuyanh.com/userfiles/image/vat-tu/thuoc/kich-re-hang-thai-1-1.jpg,100000,"Thuốc kích rễ công cụ hiệu quả giúp nhà vườn, người trồng lan thúc đẩy sự phát triển của cây sau khi ghép",Gia ?�Enh,
1,Chậu trầm nestor đẹp,https://hoalanhuyanh.com/userfiles/image/gio-lan/chau-nestor/anh-nho-chau-nestor-4-dau-1.jpg,350000,"Trầm nestor loại trầm đa phần ra bông to màu đậm, rất thơm. Đặc biệt cây rất khỏe, rất sai hoa. Cùng mùa hoa với trầm tím.",Sinh Nh?t,
2,Giả hạc sao thiên vương,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/gia-hac/sao-thien-vuong/anh-nho-sao-thien-vuong-hinh-hoa.jpg,700000,"Sao thiên vương là loại giả hạc có mặt bông cực đẹp, là cây tem nhân giống ra nhiều mặt hoa khác tương tự. Cây rất đẹp, thân mập",Khai Tr??ng,
3,Thiên cung 3 lưỡi,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/thien-cung-3-luoi/anh-nho-hinh-hoa-thien-cung-3-luoi.jpg,850000,"Bông hoa lan 3 lưỡi cực hiếm gặp và vô cùng đẹp, thay vì 1 chúng có đến 3 lưỡi, chỉ còn lại 3 cánh dài. Trong số các kiểu hoa thân thòng thì phom hoa này là hiếm gặp nhất.",20/11,
4,Trầm thiên long,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/thien-long/anh-nho-thien-long-hinh-hoa.jpg,450000,"Thiên long tên một loại trầm của Đài Loan có hoa hội tụ đầy đủ yếu tố được coi là bông trầm đẹp, cánh bầu, màu đỏ đều, mắt đậm, rất thơm, bông to. ",Thanh Cao,
5,"Giả hạc 5 cánh trắng họng hồng, hàng Đài",https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/5ct-dai/5ct-dai-loan-1-2.jpg,450000,"Giả hạc 5 cánh trắng họng hồng (Den anosmum var semir aba pink), hàng Đài Loan hay phi điệp 5 cánh trắng họng hồng, mỗi mầm dài khoảng 20cm, đang phát triển mạnh. Xem hình ảnh bên dưới.",T�Enh Y�Eu,
6,Trầm trắng hàng Thái,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/trang-thai/tram-trang-thai-cay-dep-3-2.jpg,260000,"Trầm trắng hàng Thái , cậy đẹp đang phát triển tốt, các bác có thể xem hình ảnh thực tế bên dưới nhé, em bán cây như hình. Thoải mái hoa mùa tới",Gia ?�Enh,
7,Kiếm vàng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/kiem/kiem-vang-3-1.jpg,1500000,"Loại kiếm này khá dễ chăm sóc, hoa đẹp màu vàng vào mùa hè, cây rất khỏe. Phù hợp với khí hậu nhiều vùng",?am M�E Huy?n B�E,
8,Giả hạc Chớp mỹ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/hoa-lan-chop-my-1-1.jpg,1300000,"Mặt bông đẹp, lạ được nhiều người yêu thích. Màu chớp trắng tím, bông to. Loại lan này dành được giải thưởng hoa lan đẹp nhất của Mỹ, vì thế mọi người gọi là chớp mỹ. Hiện tại ở việt nam đây vẫn là một giống lan hiếm, có giá khá cao, nhưng mặt bông thì thực sự xứng đáng.",S? Ki?n,
9,Ono 15,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/2017/ono/hinh-hoa-ono-15-1.jpg,180000,"Hàng đài nên mặt hoa rất đẹp và chuẩn. Giả hạc ONO 15 có thân khá giống hoa hồng đỏ hay hồng ngọc nhưng phom hoa hoàn toàn khác, rất nổi bật. Bảo hành mặt hoa",Sinh Nh?t,
10,Giả hạc 5 cánh trắng họng tím,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/2017/5canhtrangtim/5-canh-trang-hong-tim-1-1.jpg,250000,"Cây khỏe đẹp, hàng đài loan , bảo hành mặt hoa 5 cánh trắng họng tím. Hiện tại em bán đang trồng cốc rêu giữ ẩm, có 2 cỡ đều có thể hoa mùa tới",Trang Tr?ng,
